sirket_adi,sektor,tip,resmi_ad,gercek_sektor,telefon,web,lat,lon
ÇILDIR KAYMAKAMLIĞI,Kamu,Kamu,Çıldır Kaymakamlığı,"Belediyeler, Devlet Daireleri",+90 478 311 25 00,Yok,41.126597,43.134694
ÇILDIR TOPLUM SAĞLIĞI MERKEZİ BAŞKANLIĞI,Sağlık,Kamu,,,,,0.0,
ÇINA OTOMATİV LTD. ŞTİ.,Endüstriyel Makina,Özel,,,,,0.0,
ÇINAR BORU PROFİL SANAYİ VE TİCARET ANONİM ŞİRKETİ,Sanayi,Özel,Çınar Boru,Metal ürün firmaları,+90 380 525 02 67,http://www.cinarboru.com.tr/,41.093531,31.197038
ÇINAR İKLİMLENDİRME ANONİM ŞİRKETİ,İnşaat,Özel,,,,,0.0,
ÇINAR KAYMAKAMLIĞI,Kamu,Kamu,Çınar Kaymakamlığı,"Belediyeler, Devlet Daireleri",+90 412 511 20 02,http://www.cinar.gov.tr/,37.725537,40.414763
ÇINARCIK BELEDİYE BAŞKANLIĞI,Kamu,Kamu,Çınarcık Belediyesi,"Belediyeler, Devlet Daireleri",444 04 77,http://www.cinarcik.bel.tr/,40.642986,29.119178
ÇINARCIK KAYMAKAMLIĞI,İdari,Kamu,Çınarcık Kaymakamlığı,"Belediyeler, Devlet Daireleri",+90 226 245 10 01,Yok,40.643114,29.119465
ÇIRAĞAN SARAYI KEMPİNSKİ,Turizm,Özel,Çırağan Palace Kempinski İstanbul Hotel,Otel,+90 212 326 46 46,Yok,41.04451,29.016912
ÇİÇEKDAĞI BELEDİYE BAŞKANLIĞI,Kamu,Kamu,Çiçekdağı Belediyesi,"Belediyeler, Devlet Daireleri",+90 386 612 22 66,http://www.cicekdagi.bel.tr/,39.60451,34.419711
ÇİFTÇİLER SİGORTA ARACILIK HİZMETLERİ LTD. ŞTİ.,Sigorta,Özel,,,,,0.0,
ÇİFTELER BELEDİYE BAŞKANLIĞI,İdari,Kamu,Çifteler Belediyesi,"Belediyeler, Devlet Daireleri",+90 222 541 40 81,http://www.cifteler.bel.tr/,39.37738,31.03704
ÇİFTLİKKÖY BELEDİYE BAŞKANLIĞI,Kamu,Kamu,Çiftlikköy Belediyesi,"Belediyeler, Devlet Daireleri",+90 226 352 62 04,Yok,40.663964,29.324323
ÇİFTLİKKÖY KAYMAKAMLIĞI,Kamu,Kamu,Çiftlikköy Kaymakamlığı,"Belediyeler, Devlet Daireleri",+90 226 352 70 59,http://www.ciftlikkoy.gov.tr/,40.660472,29.325163
ÇİĞLİ BELEDİYE BAŞKANLIĞI,İdari,Kamu,Çiğli Belediyesi,"Belediyeler, Devlet Daireleri",+90 232 935 55 35,https://www.cigli.bel.tr/,38.491435,27.064916
ÇİĞLİ EĞİTİM VE ARAŞTIRMA HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Çiğli Eğitim ve Araştırma Hastanesi ek binası,Hastaneler,444 35 30,https://cigliegitimh.saglik.gov.tr/,38.499414,27.049225
ÇİĞLİ KAYMAKAMLIĞI,Kamu,Kamu,Çiğli Kaymakamlığı,"Belediyeler, Devlet Daireleri",+90 232 376 33 76,http://www.cigli.gov.tr/,38.495065,27.062048
ÇİLEK HOLDİNG,Gıda,Özel,,,,,0.0,
ÇİLİMLİ BELEDİYE BAŞKANLIĞI,Kamu,Kamu,Çilimli Belediye Başkanlığı,"Belediyeler, Devlet Daireleri, Belediye ve kamu hizmetleri merkezi",+90 532 785 85 51,http://www.cilimli.bel.tr/,40.89379,31.049169
ÇİNE BELEDİYE BAŞKANLIĞI,Kamu,Kamu,Çine Belediyesi,"Belediyeler, Devlet Daireleri",+90 256 711 69 24,Yok,37.614177,28.06273
ÇİNE MESLEK YÜKSEKOKULU MÜDÜRLÜĞÜ,Eğitim,Kamu,Aydın Adnan Menderes Üniversitesi Çine Meslek Yüksekokulu,"Üniversiteler, Meslek yüksekokulu",+90 256 218 20 00,Yok,37.63124,28.040576
ÇİVRİL BELEDİYE BAŞKANLIĞI,İdari,Kamu,Çivril Belediyesi,"Belediyeler, Devlet Daireleri",+90 258 713 10 08,http://www.civril.bel.tr/,38.299942,29.740523
ÇİZGİ DİZAYN MOBİLYACILIK KER. İNŞ. LTD. ŞTİ.,Mobilya,Özel,,,,,0.0,
ÇOBAN HUKUK BÜROSU,Hukuk,Özel,Çoban Hukuk Bürosu,Hukuk büroları,+90 212 219 67 68,http://www.cobanhukuk.com/,41.048973,28.98729
ÇOBANKALE KAZI BAŞKANLIĞI,Kamu,Kamu,,,,,0.0,
ÇORLU AĞIZ VE DİŞ SAĞLIĞI MERKEZİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Çorlu Ağız ve Diş Sağlığı Merkezi,Diş sağlığı poliklinikleri,+90 282 692 55 55,http://corluadsm.saglik.gov.tr/,41.150116,27.847555
ÇORLU BELEDİYE BAŞKANLIĞI,İdari,Kamu,Çorlu Belediyesi,"Belediyeler, Devlet Daireleri",444 99 59,https://www.corlu.bel.tr/Default,41.159978,27.800694
ÇORLU MESLEK YÜKSEKOKULU MÜDÜRLÜĞÜ,Eğitim,Kamu,Namık Kemal Üniversitesi Çorlu Meslek Yüksekokulu,Meslek yüksekokulu,+90 282 250 35 00,Yok,41.143463,27.855635
ÇORUM AĞIZ VE DİŞ SAĞLIĞI MERKEZİ BAŞHEKİMLİĞİ,Sağlık,Kamu,,,,,0.0,
ÇORUM AİLE VE SOSYAL HİZMETLER İL MÜDÜRLÜĞÜ,Sosyal Hizmetler,Kamu,Çorum Aile Çalışma ve Sosyal Hizmetler İl Müdürlüğü,"Belediyeler, Devlet Daireleri, Devlet kurumları ve bakanlıklar",+90 364 224 65 32,http://aile.gov.tr/,40.552758,34.95942
ÇORUM ALACA DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Alaca Devlet Hastanesi,Hastaneler,+90 364 411 10 10,Yok,40.175629,34.857667
ÇORUM BAYAT DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Bayat Devlet Hastanesi,Hastaneler,+90 364 381 30 27,http://bayatdh.saglik.gov.tr/,40.63684,34.276371
ÇORUM BELEDİYE BAŞKANLIĞI,Kamu,Kamu,Çorum Belediyesi Başkanlığı,"Belediyeler, Devlet Daireleri",+90 364 319 19 19,https://www.corum.bel.tr/,40.551385,34.945962
"ÇORUM ÇEVRE, ŞEHİRCİLİK VE İKLİM DEĞİŞİKLİĞİ İL MÜDÜRLÜĞÜ",Kamu,İl Müdürlüğü,,,,,0.0,
ÇORUM GÖĞÜS HASTALIKLARI HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Göğüs Hastalıkları Hastanesi,"Hastaneler, Uzmanlık hastaneleri",+90 364 225 58 68,http://corumghh.saglik.gov.tr/,40.538527,34.953953
ÇORUM İL AFET VE ACİL DURUM MÜDÜRLÜĞÜ,Kamu,Kamu,Afad Çorum,Devlet kurumları ve bakanlıklar,+90 364 213 70 66,https://corum.afad.gov.tr/,40.539213,34.942701
ÇORUM İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ,Eğitim,Kamu,Çorum İl Milli Eğitim Müdürlüğü,"Belediyeler, Devlet Daireleri, Eğitim denetim kurumları",+90 364 213 10 38,Yok,40.558314,34.959777
ÇORUM İL MÜFTÜLÜĞÜ,Kamu,Kamu,Çorum İl Müftülüğü,Devlet kurumları ve bakanlıklar,+90 364 223 07 20,Yok,40.559002,34.974055
ÇORUM İL SAĞLIK MÜDÜRLÜĞÜ,Sağlık,Kamu,Çorum İl Sağlık Müdürlüğü,Devlet kurumları ve bakanlıklar,+90 364 219 55 00,Yok,40.555974,34.970556
ÇORUM İL TARIM VE ORMAN MÜDÜRLÜĞÜ,Tarım ve Orman,Kamu,Çorum İl Tarım ve Orman Müdürlüğü,Devlet kurumları ve bakanlıklar,+90 364 213 83 26,Yok,40.54709,34.940205
ÇORUM İSKİLİP ATIF HOCA DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,İskilip Atıf Hoca Devlet Hastanesi,Hastaneler,+90 364 511 05 05,Yok,40.726762,34.466534
ÇORUM KARGI AHMET HAMDİ AKPINAR İLÇE DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Kargı Ahmet Hamdi Akpınar İlçe Devlet Hastanesi,Hastaneler,+90 364 651 20 12,https://kargidh.saglik.gov.tr/,41.133293,34.485257
ÇORUM MECİTÖZÜ İLÇE DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Çorum Mecitözü İlçe Devlet Hastanesi,Hastaneler,+90 364 461 43 03,Yok,40.522746,35.288612
ÇORUM MERKEZ TOPLUM SAĞLIĞI MERKEZİ BAŞKANLIĞI,Sağlık,Kamu,,,,,0.0,
ÇORUM OSMANCIK DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Osmancık Devlet Hastanesi,Hastaneler,+90 364 611 40 33,http://osmancikdh.saglik.gov.tr/,40.98008,34.803762
ÇORUM PTT BAŞMÜDÜRLÜĞÜ,Kamu,Kamu,Ptt,"Postahane, PTT, Kargo firmaları",+90 364 224 11 23,https://ptt.gov.tr/,40.550224,34.954391
ÇORUM SOSYAL GÜVENLİK İL MÜDÜRLÜĞÜ,Kamu,Kamu,Çorum Sosyal Güvenlik İl Müdürlüğü,"Belediyeler, Devlet Daireleri",+90 364 225 66 06,http://www.sgk.gov.tr/,40.542973,34.951676
ÇORUM SUNGURLU DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Çorum Sungurlu Devlet Hastanesi,"Hastaneler, Acil yardım hizmeti",+90 364 310 10 10,Yok,40.172369,34.399842
ÇORUM VALİLİĞİ,İdari,Kamu,Çorum Valiliği,Devlet kurumları ve bakanlıklar,+90 364 213 52 07,http://www.corum.gov.tr/,40.552859,34.960287
ÇÖLLEŞME VE EROZYONLA MÜCADELE GENEL MÜDÜRLÜĞÜ,Hükümet ve İdare,Kamu,Çölleşme ve Erozyonla Mücadele Genel Müdürlüğü,Devlet kurumları ve bakanlıklar,+90 312 207 50 28,http://cem.csb.gov.tr/,39.922202,32.800924
ÇUBUK KAYMAKAMLIĞI,İdari,Kamu,Çubuk Kaymakamlığı,"Belediyeler, Devlet Daireleri",+90 312 837 88 10,Yok,40.2404,33.032025
ÇUKURCA KAYMAKAMLIĞI,Kamu,Kamu,Çukurca Kaymakamlığı,"Belediyeler, Devlet Daireleri, Devlet kurumları ve bakanlıklar",+90 438 511 20 03,http://www.cukurca.gov.tr/,37.246879,43.612064
ÇUKUROVA İLÇE MİLLİ EĞİTİM MÜDÜRLÜĞÜ,Eğitim,Kamu,Çukurova İlçe Milli Eğitim Müdürlüğü,"Belediyeler, Devlet Daireleri",+90 322 200 96 00,https://cukurova.meb.gov.tr/,37.053211,35.246285
ÇUKUROVA İLÇE SAĞLIK MÜDÜRLÜĞÜ,Sağlık,Kamu,,,,,0.0,
ÇUKUROVA KALKINMA AJANSI,Kalkınma Ajansı,Kamu,Çukurova Kalkınma Ajansı,"Belediyeler, Devlet Daireleri",+90 322 363 00 40,http://cka.org.tr/,36.993085,35.309869
ÇUKUROVA TARIM İŞLETMESİ MÜDÜRLÜĞÜ,Tarım,Kamu,,,,,0.0,
ÇUKUROVA ÜNİVERSİTESİ REKTÖRLÜĞÜ,Eğitim,Kamu,Çukurova Üniversitesi Rektörlüğü,Üniversiteler,+90 322 338 64 57,http://sks.cu.edu.tr/,37.057299,35.35463
ÇÜNGÜŞ KAYMAKAMLIĞI,Kamu,Kamu,Çüngüş Kaymakamlığı,"Belediyeler, Devlet Daireleri",+90 412 541 20 06,Yok,38.211965,39.290795
D.L.G YANGIN SÖNDÜRME SİSTEMLERİ,Yangın Söndürme,Özel,,,,,0.0,
D.REAM (DOĞUŞ RESTAURANT ENTERTAINMENT AND MANAGEMENT),Turizm ve Gastronomi,Özel,,,,,0.0,
DADAY KAYMAKAMLIĞI,Kamu,Kamu,Daday Kaymakamlığı,"Belediyeler, Devlet Daireleri",+90 366 616 10 01,https://www.tkgm.gov.tr/,41.474615,33.463587
DALAMAN KAYMAKAMLIĞI,İdari,Kamu,Dalaman Kaymakamlığı,"Belediyeler, Devlet Daireleri",+90 252 692 50 11,http://dalaman.gov.tr/,36.776978,28.80061
DALAMAN TARIM İŞLETMESİ MÜDÜRLÜĞÜ,Tarım,Kamu,Tarım İşletmesi Müdürlüğü,Devlet kurumları ve bakanlıklar,+90 252 692 37 20,Yok,36.7722,28.823677
DAMAL KAYMAKAMLIĞI,Kamu,Kamu,Damal Kaymakamlığı,"Belediyeler, Devlet Daireleri, Devlet kurumları ve bakanlıklar",+90 478 651 42 08,http://www.damal.gov.tr/,41.339843,42.839677
DAMAL TOPLUM SAĞLIĞI MERKEZİ BAŞKANLIĞI,Sağlık,Kamu,Ardahan Damal 01 Nolu Aile Sağlığı Merkezi,Poliklinikler,+90 478 651 46 36,Yok,41.342335,42.83727
DAMEN SHIPYARDS ANTALYA DENIZ ARAÇLARI SANAYİ VE TİCARE LTD. ŞTİ.,Denizcilik,Özel,Damen,Tersaneler,+90 242 259 50 85,Yok,36.841606,30.606035
DANIŞMAN SOĞUTMA SİSTEMLERİ GIDA SANAYİ VE MOTORLU ARAÇLAR ANONİM ŞİRKETİ,Gıda Sanayii ve Motorlu Araçlar,Özel,,,,,0.0,
DARENDE KAYMAKAMLIĞI,Kamu,Kamu,Darende Kaymakamlığı,"Belediyeler, Devlet Daireleri",+90 422 615 10 55,http://www.darende.gov.tr/,38.560591,37.490801
DARGEÇİT BELEDİYE BAŞKANLIĞI,Kamu,Kamu,Dargeçit Belediyesi,"Belediyeler, Devlet Daireleri",+90 482 381 20 01,Yok,37.548074,41.712898
DARGEÇİT KAYMAKAMLIĞI,Kamu,Kamu,Dargeçit Kaymakamlığı,"Devlet kurumları ve bakanlıklar, Belediyeler, Devlet Daireleri",+90 482 381 22 13,Yok,37.546496,41.713435
DARICA BELEDİYE BAŞKANLIĞI,İdari,Kamu,Darıca Belediyesi,"Belediyeler, Devlet Daireleri",444 74 41,Yok,40.76006,29.387309
DARICA KAYMAKAMLIĞI,İdari,Kamu,Darıca Kaymakamlığı,Devlet kurumları ve bakanlıklar,+90 262 745 16 24,Yok,40.758431,29.38612
DARPHANE VE DAMGA MATBAASI GENEL MÜDÜRLÜĞÜ,Hükümet,Kamu,Darphane ve Damga Matbaası Genel Müdürlüğü,Devlet kurumları ve bakanlıklar,+90 212 370 90 00,Yok,41.058106,29.007983
DARÜLACEZE BAŞKANLIĞI,Hukuk,Kamu,Darülaceze Başkanlığı,"Belediyeler, Devlet Daireleri",+90 212 210 18 95,https://www.darulaceze.gov.tr/,41.059688,28.966527
DATA MARKET,Veri Pazarlama,Özel,Data Market,Bilgisayar mağazaları,+90 212 337 07 07,https://www.datamarket.com.tr/,41.110569,29.024726
DATASURGERY YAZILIM VE DANIŞMANLIK LTD. ŞTİ.,Yazılım ve Danışmanlık,Özel,Datasurgery Yazılım ve Danışmanlık,Yazılım firmaları,+90 505 215 98 14,http://www.datasurgery.com.tr/,40.873218,29.307626
DATÇA BELEDİYE BAŞKANLIĞI,Kamu,Kamu,Datça Belediyesi,"Belediyeler, Devlet Daireleri",+90 252 712 30 98,Yok,36.732435,27.681872
DATÇA KAYMAKAMLIĞI,Kamu,Kamu,Datça Kaymakamlığı,"Devlet kurumları ve bakanlıklar, Belediyeler, Devlet Daireleri",+90 252 712 30 01,Yok,36.727665,27.687588
DAVULGA BELEDİYE BAŞKANLIĞI,Kamu,Kamu,Davulga Belediyesi,"Belediyeler, Devlet Daireleri",+90 272 453 20 01,Yok,38.980325,31.374398
DAVUTLAR MESLEK YÜKSEKOKULU MÜDÜRLÜĞÜ,Eğitim,Kamu,Adnan Menderes Üniversitesi Aşçılık Programı - Culinary Program,Meslek yüksekokulu,Yok,Yok,37.749595,27.303601
DAXOM ISI CİHAZLARI LİMİTED ŞİRKETİ,Makine ve Aletler,Özel,Daxom Hermetik Şofben Navıdens Yoğuşmalı Kazan,"Isıtma sistemleri ve ekipmanları, Merkezi ısıtma sistemleri, Klima satışı, Kazan ve kazan ekipmanları",+90 216 369 85 36,http://daxom.com/,41.017301,29.09689
DC SOLAR ENERJİ ÜRETİM A.Ş.,Enerji,Özel,,,,,0.0,
DECATHLON TÜRKİYE,Ticaret,Özel,Decathlon,Spor giyim ve ayakkabı,+90 850 532 33 22,https://www.decathlon.com.tr/,36.880825,30.668294
DEFNE BELEDİYE BAŞKANLIĞI,Kamu,Kamu,Defne Belediyesi,"Belediyeler, Devlet Daireleri",+90 326 231 43 43,https://www.defne.bel.tr/,36.14646,36.141595
DEGZ ROBOTİK SANAYİ LTD. ŞTİ.,Sanayi,Özel,,,,,0.0,
DEKOR AHŞAP ÜRÜNLERİ SAN. A.Ş.,İnşaat Malzemeleri,Özel,,,,,0.0,
DEKTA MÜH.ÇADIR BRANDA İNŞ. SAN. TİC. LTD. ŞTİ.,İnşaat,Özel,Dekta Mühendislik Çadır Branda,"Çerçeve ve çadır yapıları, Metal konstrüksiyon firmaları, Depo hizmetleri",+90 212 486 27 90,http://www.dekta.com.tr/,41.091006,28.652524
DELİCE KAYMAKAMLIĞI,Kamu,Kamu,Delice Kaymakamlığı,"Belediyeler, Devlet Daireleri",+90 318 618 50 03,http://www.delice.gov.tr/,39.943659,34.031105
DEM YAZILIM MUHAMMET DEMİR GERÇEK KİŞİ İŞLETMESİ,Bilişim,Özel,,,,,0.0,
DEMİRCAN MUTFAK ENDÜSTRİYEL EKİPMANLARI SANAYİ VE TİCARET LTD. ŞTİ.,Gıda ve İçecek,Özel,,,,,0.0,
DEMİRCİ KAYMAKAMLIĞI,Kamu,Kamu,Demirci Kaymakamlığı,"Belediyeler, Devlet Daireleri",+90 236 462 13 01,http://www.demirci.gov.tr/,39.045859,28.654002
DEMİRCİ MESLEK YÜKSEKOKULU MÜDÜRLÜĞÜ,Eğitim,Kamu,Manisa Celal Bayar Üniversitesi Demirci Meslek Yüksekokulu,Meslek yüksekokulu,+90 236 462 38 15,http://demircimyo.cbu.edu.tr/,39.054295,28.667533
DEMİRKÖY İLÇE DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Demirköy İlçe Devlet Hastanesi,Hastaneler,+90 288 681 50 34,http://demirkoy.gov.tr/,41.825238,27.771206
DEMİRLER GRUP TEKSTİL TİCARET VE SANAYİ LİMİTED ŞİRKETİ,Tekstil,Özel,,,,,0.0,
DEMİROĞLU BİLİM ÜNİVERSİTESİ,Eğitim,Özel,Demiroğlu Bilim Üniversitesi,Üniversiteler,+90 212 944 52 56,https://demiroglu.bilim.edu.tr/,41.067246,28.307194
DEMİRÖREN GAZETECİLİK GRUBU,Haberleşme,Özel,Demirören Medya Grubu,Medya ajansları,+90 312 207 00 00,http://www.demirorengazetecilik.com.tr/,39.917095,32.788071
DEMİRÖREN HOLDİNG,İnşaat,Özel,,,,,0.0,
DEMİRÖREN MEDYA GRUBU,Haberleşme,Özel,Demirören Medya Grubu,Medya ajansları,+90 312 207 00 00,http://www.demirorengazetecilik.com.tr/,39.917095,32.788071
DEMİRÖREN TEKNOLOJİ GRUBU,Teknoloji,Özel,,,,,0.0,
DEMİRÖREN TV GRUBU,Medya,Özel,Demirören Tüp,Yönetim ofisi,+90 232 478 24 18,http://www.demiroren.com.tr/,38.432059,27.26095
DEMİRÖZÜ BELEDİYE BAŞKANLIĞI,Kamu,Kamu,Demirözü Belediyesi,"Belediyeler, Devlet Daireleri",+90 458 411 60 03,http://www.demirozu.bel.tr/,40.163627,39.892011
DEMİRÖZÜ KAYMAKAMLIĞI,Kamu,Kamu,Demirözü Kaymakamlığı,"Belediyeler, Devlet Daireleri, Devlet kurumları ve bakanlıklar",+90 458 411 61 54,Yok,40.166031,39.893679
DEMİSAŞ DÖKÜM EMAYE MAMÜLLERİ SANAYİ A.Ş.,Hassas Malzemeler ve Mamülleri,Özel,Demisaş,Dökümcüler,+90 262 677 46 00,http://www.demisas.com.tr/,40.796784,29.377455
DENGE ELEKTRONİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Elektronik,Özel,Denge Elektronik,"Güvenlik ve alarm sistemleri, Üniforma üreticileri",+90 216 573 40 40,Yok,40.983294,29.109931
DENGE ELETRONİK SANAYİ VE TİCARET LTD. ŞTİ.,Elektronik,Özel,Denge Elektronik,"Güvenlik ve alarm sistemleri, Üniforma üreticileri",+90 216 573 40 40,Yok,40.983294,29.109931
DENİZ FENERİ YARDIMLAŞMA VE DAYANIŞMA DERNEĞİ,Sivil Toplum,Özel,Deniz Feneri Yardımlaşma ve Dayanışma Derneği,Yardım kuruluşları,+90 216 527 10 80,http://www.denizfeneri.org.tr/,41.00223,29.174433
DENİZ KUVVETLERİ KOMUTANLIĞI,Savunma,Kamu,,,,,0.0,
DENİZ MEMELİLERİ ARAŞTIRMA DERNEĞİ,Kamu,Kamu,Deniz Memelileri Araştırma Derneği,Sivil toplum kuruluşları,Yok,http://dmad.org.tr/,36.872669,30.650697
DENİZBANK A.Ş.,Finansal Hizmetler,Özel,DenizBank Zincirlikuyu Şubesi,Banka,+90 850 222 08 00,http://www.denizbank.com/,41.069419,29.010488
DENİZLİ AİLE VE SOSYAL HİZMETLER İL MÜDÜRLÜĞÜ,Sosyal Hizmetler,Kamu,Denizli Aile ve Sosyal Hizmetler İl Müdürlüğü,"Belediyeler, Devlet Daireleri, Devlet kurumları ve bakanlıklar",+90 258 241 34 58,https://www.aile.gov.tr/Denizli,37.756855,29.099442
DENİZLİ BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI,İdari,Kamu,Denizli Büyükşehir Belediyesi,"Belediyeler, Devlet Daireleri",+90 258 280 20 20,Yok,37.773523,29.08649
"DENİZLİ ÇEVRE, ŞEHİRCİLİK VE İKLİM DEĞİŞİKLİĞİ İL MÜDÜRLÜĞÜ",Kamu,Kamu,"Denizli Çevre, Şehircilik ve İklim Değişikliği İl Müdürlüğü",Devlet kurumları ve bakanlıklar,+90 258 268 00 04,https://denizli.csb.gov.tr/,37.802285,29.048316
DENİZLİ GIDA KONTROL LABORATUVAR MÜDÜRLÜĞÜ,Kamu,Kamu,Denizli Gıda Kontrol Laboratuvar Müdürlüğü,Devlet kurumları ve bakanlıklar,+90 258 241 11 05,http://gidalab.tarimorman.gov.tr/denizli,37.779796,29.081621
DENİZLİ İL AFET VE ACİL DURUM MÜDÜRLÜĞÜ,Kamu,Kamu,Denizli İl Afet ve Acil Durum Müdürlüğü,Devlet kurumları ve bakanlıklar,+90 258 262 44 10,Yok,37.772373,29.076875
DENİZLİ İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ,Eğitim,Kamu,Denizli İl Millî Eğitim Müdürlüğü,Devlet kurumları ve bakanlıklar,+90 258 234 20 00,http://denizli.meb.gov.tr/,37.778305,29.041536
DENİZLİ İL MÜFTÜLÜĞÜ,Kamu,Kamu,Denizli İl Müftülüğü,"Belediyeler, Devlet Daireleri",+90 258 241 83 77,Yok,37.776603,29.085041
DENİZLİ İL SAĞLIK MÜDÜRLÜĞÜ,Sağlık,Kamu,Denizli İl Sağlık Müdürlüğü,Sağlık Denetim Hizmetleri,+90 258 264 49 06,https://denizliism.saglik.gov.tr/,37.782918,29.077729
DENİZLİ İL TARIM VE ORMAN MÜDÜRLÜĞÜ,Tarım ve Orman,Kamu,Denizli İl Tarım ve Orman Müdürlüğü,"Belediyeler, Devlet Daireleri",+90 258 212 54 80,https://denizli.tarimorman.gov.tr/,37.764017,29.098672
DENİZLİ ORMAN BÖLGE MÜDÜRLÜĞÜ,Orman,Kamu,Denizli Orman Bölge Müdürlüğü,"Devlet kurumları ve bakanlıklar, Orman işleri, orman koruma",+90 258 212 54 55,Yok,37.736544,29.090805
DENİZLİ POLİSEVİ ŞUBE MÜDÜRLÜĞÜ,Hizmet,Kamu,Denizli Polisevi,"Resort Oteller, Tesisler, Otel, Yurtlar",+90 258 213 76 56,http://denizli.pol.tr/polisevi,37.743413,29.102356
DENİZLİ PTT BAŞMÜDÜRLÜĞÜ,Telekominikasyon,Kamu,Ptt,"Postahane, PTT, Kargo firmaları",+90 258 241 96 01,https://ptt.gov.tr/,37.77576,29.086403
DENİZLİ SOSYAL GÜVENLİK İL MÜDÜRLÜĞÜ,Kamu,Kamu,SGK Denizli İl Müdürlüğü,Devlet kurumları ve bakanlıklar,+90 258 264 52 21,Yok,37.778,29.030349
DENİZLİ SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ,Su ve Kanalizasyon,Kamu,DESKİ Genel Müdürlüğü,"Belediyeler, Devlet Daireleri",+90 258 297 20 20,https://www.deski.gov.tr/,37.784504,29.092176
DENİZLİ TEKNİK BİLİMLER MESLEK YÜKSEKOKULU MÜDÜRLÜĞÜ,Eğitim,Kamu,Pamukkale Üniversitesi Denizli Teknik Bilimler Meslek Yüksek Okulu,Meslek yüksekokulu,+90 258 212 37 88,Yok,37.749037,29.091072
DENİZLİ VALİLİĞİ,Kamu,Kamu,Denizli Valiliği,"Devlet kurumları ve bakanlıklar, Belediyeler, Devlet Daireleri",+90 258 265 61 00,Yok,37.781237,29.084968
DERBENT BELEDİYE BAŞKANLIĞI,Yönetim,Kamu,Derbent Belediyesi,"Belediyeler, Devlet Daireleri",+90 332 561 20 05,http://www.derbent.bel.tr/index.php,38.013737,32.015784
DERELİ TOPLUM SAĞLIĞI MERKEZİ BAŞKANLIĞI,Sağlık,Kamu,,,,,0.0,
DEREPAZARI BELEDİYE BAŞKANLIĞI,İdari,Kamu,Derepazarı Belediye Başkanlığı,"Belediyeler, Devlet Daireleri",+90 464 311 33 29,http://derepazari.bel.tr/,41.024884,40.426223
DERİK BELEDİYE BAŞKANLIĞI,Kamu,Kamu,Derik Belediyesi,"Belediyeler, Devlet Daireleri",+90 482 251 30 24,http://www.derik.bel.tr/,37.363911,40.269481
DERİK KAYMAKAMLIĞI,Kamu,Kamu,Derik Kaymakamlığı,"Belediyeler, Devlet Daireleri",+90 482 252 13 44,Yok,37.363686,40.26673
DERİNCE BELEDİYE BAŞKANLIĞI,Kamu,Kamu,Derince Belediye Başkanlığı,"Belediyeler, Devlet Daireleri",Yok,Yok,40.757279,29.830484
DERİNCE KAYMAKAMLIĞI,Kamu,Kamu,Derince Nüfus Müdürlüğü,"Belediyeler, Devlet Daireleri",+90 262 239 44 00,http://www.derince.gov.tr/ilce-nufus-mudulugu,40.754971,29.813452
DERNEKPAZARI BELEDİYE BAŞKANLIĞI,Kamu,Kamu,Dernekpazarı Belediyesi,"Belediyeler, Devlet Daireleri",+90 462 681 20 09,http://www.dernekpazari.bel.tr/,40.801825,40.248231
DERNEKPAZARI KAYMAKAMLIĞI,Kamu,Kamu,Dernekpazarı Kaymakamlığı,"Belediyeler, Devlet Daireleri",+90 462 681 21 13,http://www.dernekpazari.gov.tr/,40.799101,40.24679
DERVİŞOĞLU İNŞAAT,İnşaat,Özel,Dervişoğlu İnşaat,İnşaat firmaları,+90 546 440 75 91,Yok,41.016819,29.175332
DESTEK BİRLİK KOMUTANLIĞI,Kamu,Kamu,,,,,0.0,
DEUTSCHE BANK A.Ş.,Finansal Hizmetler,Özel,,,,,0.0,
DEVBU BİLİŞİM A.Ş.,Bilişim,Özel,,,,,0.0,
DEVELİ BELEDİYE BAŞKANLIĞI,Kamu,Özel,Develi Belediye Başkanlığı,"Belediyeler, Devlet Daireleri",Yok,Yok,38.386765,35.49187
DEVLET ARŞİVLERİ BAŞKANLIĞI,Kamu,Kamu,Cumhurbaşkanlığı Devlet Arşivleri Başkanlığı,Devlet kurumları ve bakanlıklar,+90 312 307 90 00,Yok,39.962514,32.798479
